dataset_id,model_family,k_total_runs,auxiliary_runs,subset_count,case_count,full_review_workload,full_hc_disagreement_n,auxiliary_fit_fraction_of_full,gate_decision_agreement_median,gate_decision_agreement_q25,gate_decision_agreement_q75,gate_decision_agreement_mean,review_recall_median,review_recall_q25,review_recall_q75,review_recall_mean,review_precision_median,review_precision_q25,review_precision_q75,review_precision_mean,review_jaccard_median,review_jaccard_q25,review_jaccard_q75,review_jaccard_mean,hc_disagreement_recall_median,hc_disagreement_recall_q25,hc_disagreement_recall_q75,hc_disagreement_recall_mean,hc_disagreement_precision_median,hc_disagreement_precision_q25,hc_disagreement_precision_q75,hc_disagreement_precision_mean,hc_disagreement_jaccard_median,hc_disagreement_jaccard_q25,hc_disagreement_jaccard_q75,hc_disagreement_jaccard_mean,agreement_mae_median,agreement_mae_q25,agreement_mae_q75,agreement_mae_mean,review_workload_median,review_workload_q25,review_workload_q75,review_workload_mean,review_workload_delta_median,review_workload_delta_q25,review_workload_delta_q75,review_workload_delta_mean
ai4i_2020,decision_tree,3,2,171,2000,0.0115,18,0.10526315789473684,0.9965,0.9955,0.997,0.9962017543859649,0.6956521739130435,0.6086956521739131,0.7391304347826086,0.669717772692601,1.0,1.0,1.0,1.0,0.6956521739130435,0.6086956521739131,0.7391304347826086,0.669717772692601,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.783625730994152,0.9285714285714286,0.875,0.9444444444444444,0.9149842446282074,0.7777777777777778,0.631578947368421,0.8421052631578947,0.7335385246742587,0.0022833333333333334,0.0019249999999999998,0.002666666666666667,0.002319590643274854,0.008,0.007,0.0085,0.007701754385964914,-0.0034999999999999996,-0.0045,-0.002999999999999999,-0.0037982456140350875
ai4i_2020,decision_tree,5,4,1000,2000,0.0115,18,0.21052631578947367,0.9985,0.9975,0.999,0.998188,0.8695652173913043,0.782608695652174,0.9130434782608695,0.8424347826086956,1.0,1.0,1.0,1.0,0.8695652173913043,0.782608695652174,0.9130434782608695,0.8424347826086956,0.7222222222222222,0.6111111111111112,0.8888888888888888,0.7371666666666667,1.0,0.9411764705882353,1.0,0.971508437726704,0.7222222222222222,0.6111111111111112,0.8421052631578947,0.7222832497911444,0.0016000000000000003,0.0014,0.0019000000000000002,0.0016609,0.01,0.009,0.0105,0.009687999999999999,-0.0014999999999999996,-0.0025000000000000005,-0.0009999999999999992,-0.0018120000000000002
ai4i_2020,decision_tree,10,9,1000,2000,0.0115,18,0.47368421052631576,0.9995,0.999,1.0,0.9994694999999999,0.9565217391304348,0.9130434782608695,1.0,0.9538695652173913,1.0,1.0,1.0,1.0,0.9565217391304348,0.9130434782608695,1.0,0.9538695652173913,0.9444444444444444,0.8888888888888888,0.9444444444444444,0.9152777777777779,1.0,0.9444444444444444,1.0,0.98041987418756,0.8947368421052632,0.8888888888888888,0.9444444444444444,0.8988347953216376,0.0008999999999999999,0.00075,0.0010500000000000002,0.0009107999999999999,0.011,0.0105,0.0115,0.010969500000000002,-0.0005000000000000004,-0.0009999999999999992,0.0,-0.0005304999999999999
ai4i_2020,decision_tree,15,14,1000,2000,0.0115,18,0.7368421052631579,1.0,1.0,1.0,0.999901,1.0,1.0,1.0,0.991391304347826,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.991391304347826,1.0,0.9444444444444444,1.0,0.9684444444444446,1.0,0.9473684210526315,1.0,0.9861570347437221,0.9473684210526315,0.9444444444444444,1.0,0.9553362573099416,0.0005499999999999998,0.0004500000000000001,0.0006333333333333333,0.0005502,0.0115,0.0115,0.0115,0.011401,0.0,0.0,0.0,-9.900000000000006e-05
ai4i_2020,decision_tree,20,19,1,2000,0.0115,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0115,0.0115,0.0115,0.0115,0.0,0.0,0.0,0.0
ai4i_2020,flat_neuro_fuzzy,3,2,171,2000,0.1065,0,0.10526315789473684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.009116666666666665,0.00805833333333333,0.010241666666666666,0.009826803118908382,0.1065,0.1065,0.1065,0.10650000000000003,0.0,0.0,0.0,0.0
ai4i_2020,flat_neuro_fuzzy,5,4,1000,2000,0.1065,0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.006300000000000001,0.00545,0.00785,0.0068169,0.1065,0.1065,0.1065,0.10650000000000003,0.0,0.0,0.0,0.0
ai4i_2020,flat_neuro_fuzzy,10,9,1000,2000,0.1065,0,0.47368421052631576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0036,0.0030499999999999998,0.004200000000000001,0.00366325,0.1065,0.1065,0.1065,0.10650000000000003,0.0,0.0,0.0,0.0
ai4i_2020,flat_neuro_fuzzy,15,14,1000,2000,0.1065,0,0.7368421052631579,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.002166666666666666,0.0019499999999999993,0.002416666666666666,0.0022188,0.1065,0.1065,0.1065,0.10650000000000003,0.0,0.0,0.0,0.0
ai4i_2020,flat_neuro_fuzzy,20,19,1,2000,0.1065,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1065,0.1065,0.1065,0.1065,0.0,0.0,0.0,0.0
