k_total_runs,auxiliary_runs,auxiliary_fit_fraction_of_full,cell_count,gate_decision_agreement_median_macro,gate_decision_agreement_median_cell_median,review_recall_median_macro,review_recall_median_cell_median,review_precision_median_macro,review_precision_median_cell_median,review_jaccard_median_macro,review_jaccard_median_cell_median,hc_disagreement_recall_median_macro,hc_disagreement_recall_median_cell_median,hc_disagreement_precision_median_macro,hc_disagreement_precision_median_cell_median,hc_disagreement_jaccard_median_macro,hc_disagreement_jaccard_median_cell_median,agreement_mae_median_macro,agreement_mae_median_cell_median,review_workload_median_macro,review_workload_median_cell_median,review_workload_delta_median_macro,review_workload_delta_median_cell_median,cells_with_full_hc_disagreement
3,2,0.10526315789473684,15,0.9961197838003603,1.0,0.9106452620299328,1.0,0.9989643730386464,1.0,0.9096566237214175,1.0,0.8108974358974359,0.7884615384615385,0.6005099309043624,0.8816705336426914,0.5255796669345709,0.6762075134168157,0.00489193892516352,0.0022833333333333334,0.16873208750207638,0.10526315789473684,-0.003546494422509295,0.0,4
5,4,0.21052631578947367,15,0.9974355966999314,1.0,0.9334969540352372,1.0,0.9998372418311069,1.0,0.9333373409753407,1.0,0.7232084155161078,0.6964168310322156,0.6913169137974366,0.9565845689871828,0.5408821034775233,0.648854961832061,0.003699104513529515,0.0016000000000000003,0.16977082667825183,0.10526315789473684,-0.002507755246333849,0.0,4
10,9,0.47368421052631576,15,0.9989408257838089,1.0,0.9704249106043382,1.0,0.9999455560092554,1.0,0.9703569166675937,1.0,0.9089414858645628,0.9012163050624589,0.9198282487294747,0.9825136403160922,0.8247550194471744,0.8637957531800633,0.002090903813308459,0.0008999999999999999,0.17126391689347187,0.10526315789473684,-0.0010146650311138373,0.0,4
15,14,0.7368421052631579,15,0.9998462409970057,1.0,0.9986706835511983,1.0,0.9998570434814031,1.0,0.9984736945373939,1.0,0.9430473372781065,0.9694280078895463,0.9314516129032258,0.9879032258064516,0.8947404569115095,0.9323380566801619,0.0012413039700489383,0.0005499999999999998,0.17217337839622118,0.10526315789473684,-0.00010520352836449013,0.0,4
20,19,1.0,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1722785819245857,0.10526315789473684,0.0,0.0,4
