failure_class,count,frozen_relation
TRUE_ZERO_ACTIVATION_REFERENCE_NONFINITE,3254,SUBJECT_UNDEFINED_NO_RULE_REFERENCE_FINITE
ACTIVATION_CUTOFF_POLICY_DIFFERENCE_REFERENCE_FINITE,802,SUBJECT_UNDEFINED_NO_RULE_REFERENCE_FINITE
