fixture_id,system_type,total_cases,defined_cases,defined_fraction,max_defined_error
M01,mamdani,10001,10001,1.0,0.0
M02,mamdani,10002,10000,0.9998000399920016,0.0
M03,mamdani,40602,40000,0.9851731441800896,0.0
M04,mamdani,40401,40000,0.9900745031063588,0.0
M05,mamdani,40401,40000,0.9900745031063588,0.0
M06,mamdani,40602,40000,0.9851731441800896,0.0
S01,sugeno,10001,10001,1.0,0.0
S02,sugeno,10002,10000,0.9998000399920016,0.0
S03,sugeno,40602,40000,0.9851731441800896,0.0
S04,sugeno,40401,40000,0.9900745031063588,0.0
S05,sugeno,40401,40000,0.9900745031063588,0.0
S06,sugeno,40602,40000,0.9851731441800896,0.0
GM-01-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-02-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-03-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-04-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-05-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-06-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-07-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-08-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-09-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-10-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-11-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-12-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-13-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-14-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-15-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-16-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-17-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-18-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-19-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GM-20-20260831,mamdani,10002,10001,0.9999000199960008,0.0
GS-01-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-02-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-03-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-04-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-05-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-06-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-07-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-08-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-09-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-10-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-11-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-12-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-13-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-14-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-15-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-16-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-17-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-18-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-19-20260901,sugeno,10002,10001,0.9999000199960008,0.0
GS-20-20260901,sugeno,10002,10001,0.9999000199960008,0.0
